"","environment","location","year","Genotype","swelling.index","swelling.power","WAC","Bulk.Density"
"1","Otobi_2020","Otobi","2020","IITA-TMS-IBA30572",1.91,6.775,368,0.905
"2","Otobi_2020","Otobi","2020","NR17C2aF103P001",2.015,7.24,479,0.93
"3","Otobi_2020","Otobi","2020","NR17C2aF10P002",2.1,6.895,550.5,0.92
"4","Otobi_2020","Otobi","2020","NR17C2aF10P006",2.2,6.835,450,0.91
"5","Otobi_2020","Otobi","2020","NR17C2aF10P017",2.09,7.475,538,0.855
"6","Otobi_2020","Otobi","2020","NR17C2aF10P025",1.92,7.445,392.5,0.83
"7","Otobi_2020","Otobi","2020","NR17C2aF114P002",2.02,6.77,417,0.825
"8","Otobi_2020","Otobi","2020","NR17C2aF121P001",2.235,7.265,531.5,0.88
"9","Otobi_2020","Otobi","2020","NR17C2aF12P001",2.31,7.17,515,0.875
"10","Otobi_2020","Otobi","2020","NR17C2aF13P001",1.92,7.335,476.5,0.77
"11","Otobi_2020","Otobi","2020","NR17C2aF14P016",1.915,6.785,428.5,0.855
"12","Otobi_2020","Otobi","2020","NR17C2aF15P016",2.31,6.1,473.5,0.765
"13","Otobi_2020","Otobi","2020","NR17C2aF16P013",2.28,6.61,407.5,0.905
"14","Otobi_2020","Otobi","2020","NR17C2aF21P004",2.38,7.05,420.5,0.855
"15","Otobi_2020","Otobi","2020","NR17C2aF28P002",1.97,7.44,478.5,0.84
"16","Otobi_2020","Otobi","2020","NR17C2aF33P002",2.17,7.13,554.5,0.805
"17","Otobi_2020","Otobi","2020","NR17C2aF54P010",2.31,7.295,457.5,0.855
"18","Otobi_2020","Otobi","2020","NR17C2aF60P006",1.67,6.885,437,0.89
"19","Otobi_2020","Otobi","2020","NR17C2aF60P009",2.085,7.225,445,0.84
"20","Otobi_2020","Otobi","2020","NR17C2aF61P003",1.885,7.145,440.5,0.88
"21","Otobi_2020","Otobi","2020","NR17C2aF62P008",1.78,7.505,501.5,0.685
"22","Otobi_2020","Otobi","2020","NR17C2aF62P020",2.38,7.17,479,0.855
"23","Otobi_2020","Otobi","2020","NR17C2aF62P027",1.925,6.865,457.5,0.94
"24","Otobi_2020","Otobi","2020","NR17C2aF65P017",1.92,7.41,413.5,0.865
"25","Otobi_2020","Otobi","2020","NR17C2aF65P027",2.015,6.545,477,0.785
"26","Otobi_2020","Otobi","2020","NR17C2aF6P044",2.49,6.865,497,0.815
"27","Otobi_2020","Otobi","2020","NR17C2aF70P007",2.02,7.125,473,0.87
"28","Otobi_2020","Otobi","2020","NR17C2aF79P005",2.38,7.26,495,0.875
"29","Otobi_2020","Otobi","2020","NR17C2aF7P007",2.26,6.935,535,0.825
"30","Otobi_2020","Otobi","2020","NR17C2aF7P062",1.985,6.885,453.5,0.88
"31","Otobi_2020","Otobi","2020","NR17C2aF81P002",2.05,6.9,483.5,0.755
"32","Otobi_2020","Otobi","2020","NR17C2aF83P018",2.38,6.905,462.5,0.865
"33","Otobi_2020","Otobi","2020","NR17C2aF87P001",1.92,6.835,501,0.865
"34","Otobi_2020","Otobi","2020","NR17C2aF89P003",2.42,7.015,462.5,0.815
"35","Otobi_2020","Otobi","2020","NR17C2aF89P014",2.22,6.675,446.5,0.865
"36","Otobi_2020","Otobi","2020","NR17C2aF89P028",1.885,6.985,505.5,0.875
"37","Otobi_2020","Otobi","2020","NR17C2aF89P084",2.24,6.055,451.5,0.84
"38","Otobi_2020","Otobi","2020","NR17C2aF90P008",2.26,7.07,407,0.785
"39","Otobi_2020","Otobi","2020","NR17C2aF97P002",2.38,7.03,420.5,0.855
"40","Otobi_2020","Otobi","2020","NR17C2aF99P002",2.4,7.425,507.5,0.84
"41","Otobi_2020","Otobi","2020","TMEB419",2.09,6.875,428,0.865
"42","Otobi_2020","Otobi","2020","TMEB7",2,7.08,416.5,0.84
"43","Umudike_2020","Umudike","2020","NR17C2aF10P002",1.78,5.98,526.5,0.86
"44","Umudike_2020","Umudike","2020","NR17C2aF10P025",2.25,6.5,543.5,0.86
"45","Umudike_2020","Umudike","2020","NR17C2aF10P036",2.18,5.86,543,0.83
"46","Umudike_2020","Umudike","2020","NR17C2aF1P009",2.52,6.18,607.5,0.86
"47","Umudike_2020","Umudike","2020","NR17C2aF121P001",2.26,6.46,536.5,0.86
"48","Umudike_2020","Umudike","2020","NR17C2aF10P017",1.79,6.29,495.5,0.86
"49","Umudike_2020","Umudike","2020","NR17C2aF15P016",2,5.88,424.5,0.94
"50","Umudike_2020","Umudike","2020","NR17C2aF12P001",1.98,7.63,523.5,0.86
"51","Umudike_2020","Umudike","2020","NR17C2aF46P005",2.15,7.98,522.5,0.82
"52","Umudike_2020","Umudike","2020","NR17C2aF16P013",2.05,7.61,452.5,0.87
"53","Umudike_2020","Umudike","2020","NR17C2aF28P002",2.18,7.73,556.5,0.82
