"","X1","X2"
"1","TMS15F1142P0004","250465388"
"2","TMS15F1021P0003","250464911"
"3","TMS15F1276P0003","250465968"
"4","TMS15F1282P0001","250466007"
"5","TMS15F1035P0002","250465011"
"6","TMS15F1179P0024","250465452"
"7","TMS15F1159P0006","250465430"
"8","TMS15F1024P0006","250464990"
"9","TMS15F1196P0010","250465572"
"10","TMS15F1269P0008","250465951"
"11","TMS15F1388P0001","250466523"
"12","TMS15F1195P0009","250465561"
"13","TMS15F1045P0004","250465026"
"14","TMS15F1397P0005","250466570"
"15","TMS15F1269P0004","250465949"
"16","TMS15F1396P0007","250466565"
"17","TMS15F1001P0001","250464861"
"18","TMS15F1284P0008","250466017"
"19","TMS15F1302P0020","250466059"
"20","TMS15F1153P0009","250465409"
"21","F4R22P01","250593195"
"22","TMS15F1132P0003","250465370"
"23","TMS15F1396P0001","250466560"
"24","TMS15F1257P0002","250465910"
"25","TMS15F1397P0001","250466568"
"26","TMS15F1305P0008","250466077"
"27","TMS15F1061P0003","250465056"
"28","TMS15F1132P0001","250465369"
"29","TMS15F1056P0002","250465037"
"30","TMS15F1153P0025","250465414"
"31","TMS15F1270P0001","250465952"
"32","TMS15F1025P0001","250464993"
"33","TMS15F1195P0010","250465562"
"34","F4R27P05","250593228"
"35","TMS15F1288P0001","250466024"
"36","TMS15F1295P0001","250466035"
"37","TMS15F1398P0008","250466574"
"38","TMS15F1305P0017","250466080"
"39","TMS15F1394P0006","250466551"
"40","TMS15F1396P0004","250466562"
"41","TMS15F1393P0006","250466543"
"42","TMS15F1305P0007","250466076"
"43","TMS15F1109P0003","250465275"
"44","TMS15F1326P0004","250467063"
"45","TMS15F1234P0001","250465795"
"46","TMS15F1333P0001","250467074"
"47","TMS15F1214P0002","250465683"
"48","TMS15F1328P0001","250467066"
"49","TMS15F1313P0003","250467030"
"50","TMS15F1425P0002","250466811"
"51","TMS15F1079P0025","250465175"
"52","TMS15F1351P0003","250466280"
"53","TMS15F1073P0005","250465136"
"54","TMS15F1079P0020","250465173"
"55","TMS15F1072P0005","250465127"
"56","TMS15F1100P0005","250465254"
"57","TMS15F1321P0003","250467048"
"58","TMS15F1124P0001","250465316"
"59","TMS15F1351P0001","250466279"
"60","TMS15F1310P0020","250467022"
"61","TMS15F1318P0006","250467043"
"62","TMS15F1424P0004","250466799"
"63","TMS15F1104P0001","250465265"
"64","TMS15F1243P0002","250465817"
"65","TMS15F1130P0007","250465327"
"66","TMS15F1080P0004","250465178"
"67","TMS15F1409P0006","250466711"
"68","TMS15F1344P0002","250467107"
"69","TMS15F1244P0004","250465827"
"70","TMS15F1092P0016","250465193"
"71","TMS15F1344P0009","250466260"
"72","TMS15F1349P0002","250466277"
"73","TMS15F1321P0001","250467046"
"74","TMS15F1099P0004","250465252"
"75","TMS15F1442P0001","250466842"
"76","TMS15F1203P0009","250465662"
"77","TMS15F1230P0005","250465782"
"78","TMS15F1403P0005","250466642"
"79","TMS15F1212P0003","250465679"
"80","TMS15F1310P0019","250467021"
"81","I000070","250300358"
"82","TMS15F1103P0006","250465263"
"83","TMS15F1424P0013","250466805"
"84","UG15F279P001","250600466"
"85","UG15F226P031","250601969"
"86","UG15F259P004","250600474"
"87","UG15F267P006","250600442"
"88","UG15F226P024","250601962"
"89","UG15F276P014","250601944"
"90","UG15F116P005","250602000"
"91","UG15F226P018","250601956"
"92","UG15F116P002","250601997"
"93","UG15F276P015","250601945"
"94","UG15F276P011","250601941"
"95","UG15F267P007","250600443"
"96","UG15F118P024","250601850"
"97","UG15F306P032","250601864"
"98","2013_0053_15","250162223"
"99","UG15F118P013","250601839"
"100","UG15F143P001","250601875"
"101","UG15F306P039","250601871"
"102","UG15F239P048","250601807"
"103","UG15F118P017","250601841"
"104","UG15F118P028","250601854"
"105","UG15F118P011","250601837"
"106","UG15F118P009","250601835"
"107","UG15F118P004","250601830"
"108","UG15F306P030","250601862"
"109","UG15F306P034","250601858"
"110","UG15F118P016","250601842"
"111","UG15F118P018","250601844"
"112","UG15F262P002","250600792"
"113","UG15F322P001","250614052"
"114","2013_0343_22","250162550"
"115","TMS15F1461P0009","250475176"
"116","TMS15F1398P0004","250475203"
"117","UG15F063P004","250614412"
"118","TME7","250399927"
"119","TMS15F1439P0004","250475220"
"120","UG15F015P029","250614398"
"121","TMS15F1367P0001","250475193"
"122","UG15F047P004","250614360"
"123","UG15F050P001","250614419"
"124","TMS15F1370P0011","250475196"
"125","2013_0160_5","250160400"
"126","UG15F056P003","250614534"
"127","UG15F016P002","250614537"
"128","UG15F055P005","250614522"
"129","UG15F042P003","250614473"
"130","UG15F119P001","250614487"
"131","F27R14P01","250591391"
"132","UG15F056P001","250614532"
"133","F24R26P01","250591424"
"134","UG15F056P002","250614533"
"135","2013_0153_1","250160342"
"136","UG15F087P016","250601205"
"137","UG15F087P006","250601196"
"138","I011368","250099299"
"139","I30572","250090764"
"140","I980505","250090767"
"141","I982101","250090795"
"142","I011797","250090770"
"143","F119P018","250592790"
"144","ANKRA","250304548"
"145","UG15F250P008","250600705"
"146","UG15F193P010","250613908"
"147","UG15F196P010","250613832"
"148","UG15F196P020","250613842"
"149","F28R2P07","250591534"
"150","UG15F250P009","250600706"
"151","F28R13P01","250591512"
"152","UG15F250P003","250600700"
"153","TMS15F1127P0014","250475569"
"154","F25P001","250589734"
"155","TMS15F1132P0013","250475590"
"156","TMS15F1142P0012","250475597"
"157","F24P007","250589821"
"158","F41P001","250589770"
"159","F30P001","250589822"
"160","F24P003","250589789"
"161","F24P001","250589773"
"162","2013_0307_16","250160612"
"163","TMS15F1148P0006","250475615"
"164","F44P002","250589810"
"165","F23P003","250589765"
"166","TMS15F1132P0008","250475586"
"167","F24P002","250589781"
"168","TMS15F1130P0012","250475583"
"169","TMS15F1127P0002","250475562"
