Genotype,swelling index,swelling power,wac%,Bulk Density 
IITA-TMS-1BA00070,2.5,7.133,544,0.802
IITA-TMS-1BA30572,2.44,6.5,540,0.828
NR17C2aF103P001,2.5,7.645,545,0.769
NR17C2aF10P001,2.32,6.235,477,0.833
NR17C2aF10P002,3.15,6.989,503,0.719
NR17C2aF10P006,2.357,7.5,520,0.816
NR17C2aF10P016,2.483,7.376,573,0.839
NR17C2aF10P017,2.72,7.622,489,0.79
NR17C2aF10P021,2.72,6.879,496,0.857
NR17C2aF10P025,2.357,7.459,573,0.781
NR17C2aF114P004,2.4,6.794,519,0.715
NR17C2aF120P002,2.8,7.867,586,0.769
NR17C2aF121P001,2.955,7.737,509,0.876
NR17C2aF121P005,3.095,7.082,531,0.833
NR17C2aF12P001,2.346,6.949,563,0.833
NR17C2aF13P001,2.321,7.768,478,0.723
NR17C2aF14P014,2.536,7.622,570,0.811
NR17C2aF14P016,2.857,6.184,487,0.896
NR17C2aF15P003,2.6,7.755,599,0.8
NR17C2aF15P011,2.8,7.116,486,0.857
NR17C2aF15P016,2.5,7.576,551,0.788
NR17C2aF15P022,2.538,7.367,563,0.79
NR17C2aF15P032,2.267,7.557,550,0.763
NR17C2aF16P003,2.074,7.414,486,0.811
NR17C2aF16P004,2.417,7.194,495,0.839
NR17C2aF16P010,2.6,6.907,503,0.792
NR17C2aF16P013,2.4,7.406,496,0.909
NR17C2aF18P008,3.15,7.34,520,0.79
NR17C2aF18P015,3.182,7.367,531,0.79
NR17C2aF18P018,2.609,7.379,480,0.811
NR17C2aF19P002,2.8,6.865,566,0.75
NR17C2aF1P003,2.44,6.818,497,0.833
NR17C2aF1P006,2.4,8,541,0.85
NR17C2aF1P009,2.5,7.337,564,0.809
NR17C2aF21P004,2.8,6.776,582,0.79
NR17C2aF27P001,2.292,6.933,482,0.77
NR17C2aF28P002,2.321,6.768,471,0.741
NR17C2aF29P001,2.833,7.969,535,0.785
NR17C2aF33P002,2.444,7.897,491,0.841
NR17C2aF33P003,2.346,7.918,497,0.79
NR17C2aF35P004,2.56,7.847,513,0.8
NR17C2aF37P001,2.6,6.541,407,0.876
NR17C2aF39P002,2.143,5.701,404,0.82
NR17C2aF40P004,2.708,6.946,509,0.845
NR17C2aF46P012,2.522,7.707,502,0.833
NR17C2aF49P006,2.68,6.856,501,0.822
NR17C2aF54P001,2.692,6.908,425,0.855
NR17C2aF54P002,2.4,8.573,522,0.855
NR17C2aF54P010,2.37,7.897,564,0.833
NR17C2aF54P015,2.625,7.515,457,0.811
NR17C2aF5P017,2.64,7.747,523,0.8
NR17C2aF5P026,3,7.379,491,0.857
NR17C2aF60P003,2.75,7.859,431,0.765
NR17C2aF60P006,2.667,6.687,565,0.833
NR17C2aF60P007,2.48,7.424,501,0.811
NR17C2aF60P009,2.4,6.602,506,0.779
NR17C2aF60P010,2.522,7.143,494,0.806
NR17C2aF60P012,3.5,7.112,529,0.855
NR17C2aF60P015,2.63,8.479,532,0.811
NR17C2aF60P019,2.5,7.122,515,0.674
NR17C2aF60P020,2.259,7.266,528,0.779
NR17C2aF61P002,2.233,8.667,583,0.883
NR17C2aF61P003,3.4,7.745,515,0.857
NR17C2aF61P004,2.28,7.125,529,0.833
NR17C2aF61P006,2.917,6.918,615,0.809
NR17C2aF61P007,2.407,7.903,507,0.851
NR17C2aF61P008,3.095,6.854,504,0.857
NR17C2aF61P009,2.909,7.051,522,0.822
NR17C2aF61P010,2.727,7.6,520,0.822
NR17C2aF61P011,2.083,6.01,406,0.755
NR17C2aF61P013,2.52,7.939,547,0.811
NR17C2aF61P015,2.333,7.293,529,0.811
NR17C2aF61P016,2.905,7.118,520,0.779
NR17C2aF62P015,2.4,6.525,398,0.874
NR17C2aF62P020,2.48,8.242,522,0.782
