Year,Location,Genotype,Amylose,Crude Fiber
2021,Otobi,IITA-TMS-IBA00070,16.55,0.63
2021,Otobi,IITA-TMS-IBA30572,18.57,1.67
2021,Otobi,NR17C2aF103P001,,0.9
2021,Otobi,NR17C2aF10P001,14.5,2.67
2021,Otobi,NR17C2aF10P002,14.44,1.66
2021,Otobi,NR17C2aF10P006,15.01,1.66
2021,Otobi,NR17C2aF10P016,16.79,1.67
2021,Otobi,NR17C2aF10P017,23.83,0.9
2021,Otobi,NR17C2aF10P021,18.33,1.99
2021,Otobi,NR17C2aF10P025,,2.67
2021,Otobi,NR17C2aF114P002,19.81,2.67
2021,Otobi,NR17C2aF114P004,21.53,0.53
2021,Otobi,NR17C2aF120P002,13.95,1.27
2021,Otobi,NR17C2aF121P001,15.7,2.67
2021,Otobi,NR17C2aF12P001,18.88,1.99
2021,Otobi,NR17C2aF13P001,19.6,3.65
2021,Otobi,NR17C2aF14P014,20.17,1.67
2021,Otobi,NR17C2aF14P016,16.97,2.33
2021,Otobi,NR17C2aF15P003,15.25,2.33
2021,Otobi,NR17C2aF15P011,17.06,
2021,Otobi,NR17C2aF15P016,22.83,1.99
2021,Otobi,NR17C2aF15P022,15.28,2.99
2021,Otobi,NR17C2aF15P032,14.8,2.99
2021,Otobi,NR17C2aF15P041,18.54,0.67
2021,Otobi,NR17C2aF16P003,15.76,4.33
2021,Otobi,NR17C2aF16P004,14.95,2.03
2021,Otobi,NR17C2aF16P010,17.67,2.33
2021,Otobi,NR17C2aF16P013,12.4,2.66
2021,Otobi,NR17C2aF18P008,19.3,4.33
2021,Otobi,NR17C2aF18P015,22.59,2.33
2021,Otobi,NR17C2aF18P018,16.73,3.33
2021,Otobi,NR17C2aF1P003,13.23,2
2021,Otobi,NR17C2aF1P006,18.51,1.33
2021,Otobi,NR17C2aF1P009,19.27,2.33
2021,Otobi,NR17C2aF21P004,14.8,1.37
2021,Otobi,NR17C2aF27P001,18.78,3
2021,Otobi,NR17C2aF28P002,19.72,4
2021,Otobi,NR17C2aF29P001,18.94,3.33
2021,Otobi,NR17C2aF33P002,17.76,1.13
2021,Otobi,NR17C2aF33P003,18.19,1.47
2021,Otobi,NR17C2aF35P004,15.1,2
2021,Otobi,NR17C2aF37P001,18.81,2.17
2021,Otobi,NR17C2aF39P002,15.79,1.1
2021,Otobi,NR17C2aF3P010,17.97,1.33
2021,Otobi,NR17C2aF40P004,16.91,2.33
2021,Otobi,NR17C2aF46P012,23.86,2.67
2021,Otobi,NR17C2aF49P006,24.13,1.66
2021,Otobi,NR17C2aF54P001,16.4,1.7
2021,Otobi,NR17C2aF54P002,19.33,2.66
2021,Otobi,NR17C2aF54P010,15.89,1.99
2021,Otobi,NR17C2aF54P012,15.4,1.67
2021,Otobi,NR17C2aF54P015,19.16,2
2021,Otobi,NR17C2aF5P017,20.6,4
2021,Otobi,NR17C2aF5P022,19,1.33
2021,Otobi,NR17C2aF5P026,19,2.66
2021,Otobi,NR17C2aF60P003,18.51,1.67
2021,Otobi,NR17C2aF60P009,16.25,2.66
2021,Otobi,NR17C2aF60P010,15.55,2.67
2021,Otobi,NR17C2aF60P012,17.67,3.33
2021,Otobi,NR17C2aF60P015,15.28,1.66
2021,Otobi,NR17C2aF60P020,13.38,2.67
2021,Otobi,NR17C2aF61P002,16.19,2.33
2021,Otobi,NR17C2aF61P003,16.94,1.7
2021,Otobi,NR17C2aF61P004,16.01,1.5
2021,Otobi,NR17C2aF61P006,18.3,2.99
2021,Otobi,NR17C2aF61P007,16.85,3.32
2021,Otobi,NR17C2aF61P008,14.47,1.57
2021,Otobi,NR17C2aF61P009,15.37,1.72
2021,Otobi,NR17C2aF61P010,15.31,1.77
2021,Otobi,NR17C2aF61P011,14.59,2.67
2021,Otobi,NR17C2aF61P013,19.09,0.67
2021,Otobi,NR17C2aF61P015,10.96,2.33
2021,Otobi,NR17C2aF61P016,20.23,2
2021,Otobi,NR17C2aF62P015,18.84,2.33
2021,Otobi,NR17C2aF62P020,18.48,2.66
2021,Otobi,NR17C2aF62P024,18,0.5
2021,Otobi,NR17C2aF62P027,15.37,1.67
2021,Otobi,NR17C2aF65P009,19.45,3.67
2021,Otobi,NR17C2aF65P017,16.97,1.43
2021,Otobi,NR17C2aF65P020,17.46,1.67
2021,Otobi,NR17C2aF65P027,17.56,2.655
2021,Otobi,NR17C2aF65P031,19.3,3.67
2021,Otobi,NR17C2aF66P002,17.52,5
2021,Otobi,NR17C2aF66P003,15.13,3
2021,Otobi,NR17C2aF66P014,19.6,3.67
2021,Otobi,NR17C2aF69P009,,1.1
2021,Otobi,NR17C2aF6P006,15.76,2.33
2021,Otobi,NR17C2aF6P007,19.45,2.66
2021,Otobi,NR17C2aF6P030,18.12,1.3
2021,Otobi,NR17C2aF6P044,15.37,2.67
2021,Otobi,NR17C2aF6P045,17.24,2.33
2021,Otobi,NR17C2aF6P046,16.37,2.4
2021,Otobi,NR17C2aF70P001,22.74,0.9
2021,Otobi,NR17C2aF70P008,10.15,2.66
2021,Otobi,NR17C2aF71P001,22.71,2.67
2021,Otobi,NR17C2aF79P001,15.55,0.9
2021,Otobi,NR17C2aF79P005,19.72,1.67
2021,Otobi,NR17C2aF79P007,,1.66
2021,Otobi,NR17C2aF79P008,,2.67
2021,Otobi,NR17C2aF79P016,16.67,0.7
2021,Otobi,NR17C2aF7P007,23.44,13.29
2021,Otobi,NR17C2aF7P008,17.33,1.7
2021,Otobi,NR17C2aF7P011,19.24,19.67
2021,Otobi,NR17C2aF7P013,15.7,1.33
2021,Otobi,NR17C2aF7P017,19.3,2
2021,Otobi,NR17C2aF7P018,10.54,0.93
2021,Otobi,NR17C2aF7P023,18.88,1.67
2021,Otobi,NR17C2aF7P030,19.33,1.66
2021,Otobi,NR17C2aF7P034,16.04,1.33
2021,Otobi,NR17C2aF7P036,16.16,1.66
2021,Otobi,NR17C2aF7P043,19.72,1.99
2021,Otobi,NR17C2aF7P044,18.91,3
2021,Otobi,NR17C2aF7P045,19,3.33
2021,Otobi,NR17C2aF7P052,20.39,2.33
2021,Otobi,NR17C2aF7P062,17.49,1.03
2021,Otobi,NR17C2aF7P065,19.78,0.63
2021,Otobi,NR17C2aF7P067,19.6,2.33
2021,Otobi,NR17C2aF7P070,17.61,1.67
2021,Otobi,NR17C2aF7P071,13.47,1.67
2021,Otobi,NR17C2aF81P003,18,1.33
2021,Otobi,NR17C2aF82P002,18.97,1.07
2021,Otobi,NR17C2aF82P005,17.14,2.45
2021,Otobi,NR17C2aF82P008,,2.33
2021,Otobi,NR17C2aF83P010,20.63,2.33
2021,Otobi,NR17C2aF83P018,18,2.33
2021,Otobi,NR17C2aF84P004,,2.33
2021,Otobi,NR17C2aF87P010,16.46,2.66
2021,Otobi,NR17C2aF87P011,19.63,2.99
2021,Otobi,NR17C2aF89P002,16.1,2.33
2021,Otobi,NR17C2aF89P003,17.85,1.67
2021,Otobi,NR17C2aF89P009,15.55,1.3
2021,Otobi,NR17C2aF89P010,16.64,1.63
2021,Otobi,NR17C2aF89P013,18.39,1.23
2021,Otobi,NR17C2aF89P014,16.13,1.5
2021,Otobi,NR17C2aF89P018,19.45,2.33
2021,Otobi,NR17C2aF89P020,18.36,1.27
2021,Otobi,NR17C2aF89P021,13.74,1.93
2021,Otobi,NR17C2aF89P028,17.43,3.33
2021,Otobi,NR17C2aF89P041,20.9,2.66
2021,Otobi,NR17C2aF89P045,18.33,2.33
2021,Otobi,NR17C2aF89P050,16.31,3.32
2021,Otobi,NR17C2aF89P054,18.78,2.66
2021,Otobi,NR17C2aF89P056,17.49,1.97
2021,Otobi,NR17C2aF89P058,19.48,1.67
2021,Otobi,NR17C2aF89P067,17.15,2.33
2021,Otobi,NR17C2aF89P069,15.37,1.53
2021,Otobi,NR17C2aF89P071,15.92,2.33
2021,Otobi,NR17C2aF89P084,23.13,1.66
2021,Otobi,NR17C2aF89P088,21.11,2.99
2021,Otobi,NR17C2aF89P091,24.49,2.33
2021,Otobi,NR17C2aF89P096,15.4,2.33
2021,Otobi,NR17C2aF89P102,18.78,2.67
2021,Otobi,NR17C2aF90P001,18.42,1.87
2021,Otobi,NR17C2aF90P007,17.64,1.33
2021,Otobi,NR17C2aF91P001,18.72,2.33
2021,Otobi,NR17C2aF91P004,17.46,1.83
2021,Otobi,NR17C2aF91P006,18.15,2.66
2021,Otobi,NR17C2aF91P008,8.97,1.7
2021,Otobi,NR17C2aF91P011,12.99,2.99
2021,Otobi,NR17C2aF92P001,22.02,3.33
2021,Otobi,NR17C2aF92P002,18.33,1.66
2021,Otobi,NR17C2aF92P003,16.88,2.33
2021,Otobi,NR17C2aF92P005,13.8,3
2021,Otobi,NR17C2aF93P009,18.21,2.99
2021,Otobi,NR17C2aF93P010,14.1,1.37
2021,Otobi,NR17C2aF94P013,17.97,3.67
2021,Otobi,NR17C2aF95P003,15.58,0.93
2021,Otobi,NR17C2aF95P011,15.16,3
2021,Otobi,NR17C2aF95P015,18.39,1.73
2021,Otobi,NR17C2aF95P021,18.12,2.33
2021,Otobi,NR17C2aF96P004,16.88,3.67
2021,Otobi,NR17C2aF97P002,11.93,2.57
2021,Otobi,NR17C2aF98P001,17.46,1.67
2021,Otobi,NR17C2aF99P002,16.94,2.33
2021,Otobi,NR17C2aF9P010,19.18,2.99
2021,Otobi,NR17C2aF9P013,19.6,1.03
2021,Otobi,NR8082,19.24,2
2021,Otobi,TMEB419,23.86,1.27
2021,Otobi,TMEB7,16.07,1.66
