Year,Location,Genotype,Amylose,Crude Fiber
2022,Umudike,IITA-TMS-IBA30572,21.291,2
2022,Umudike,NR17C2aF103P001,26.425,2.326
2022,Umudike,NR17C2aF10P001,19.479,2.326
2022,Umudike,NR17C2aF10P002,21.7138,3.333
2022,Umudike,NR17C2aF10P006,21.2306,2.667
2022,Umudike,NR17C2aF10P011,34.9112,2.658
2022,Umudike,NR17C2aF10P016,26.123,3
2022,Umudike,NR17C2aF10P017,29.1128,1.667
2022,Umudike,NR17C2aF10P021,22.9218,3
2022,Umudike,NR17C2aF10P025,22.7406,3
2022,Umudike,NR17C2aF114P002,22.6198,3.322
2022,Umudike,NR17C2aF114P004,26.2438,2
2022,Umudike,NR17C2aF120P002,19.1166,1.993
2022,Umudike,NR17C2aF121P005,18.9052,3.667
2022,Umudike,NR17C2aF12P001,22.7104,
2022,Umudike,NR17C2aF13P001,19.8414,4.319
2022,Umudike,NR17C2aF14P016,19.4186,1.993
2022,Umudike,NR17C2aF15P003,16.1872,2.99
2022,Umudike,NR17C2aF15P011,23.6466,2.667
2022,Umudike,NR17C2aF15P016,17.9992,2.333
2022,Umudike,NR17C2aF15P022,19.4488,2.661
2022,Umudike,NR17C2aF15P032,22.3178,1
2022,Umudike,NR17C2aF15P041,24.764,5.333
2022,Umudike,NR17C2aF16P003,22.8312,2.658
2022,Umudike,NR17C2aF16P010,23.0426,3.333
2022,Umudike,NR17C2aF16P013,22.2272,1.667
2022,Umudike,NR17C2aF18P008,17.214,2.667
2022,Umudike,NR17C2aF18P015,22.6802,3
2022,Umudike,NR17C2aF18P018,15.5228,3.333
2022,Umudike,NR17C2aF19P002,24.7942,3
2022,Umudike,NR17C2aF1P003,25.4284,1.993
2022,Umudike,NR17C2aF1P006,19.5394,3
2022,Umudike,NR17C2aF1P009,17.0328,3
2022,Umudike,NR17C2aF21P004,19.63,4.333
2022,Umudike,NR17C2aF28P002,22.1668,2
2022,Umudike,NR17C2aF29P001,21.7138,2.667
2022,Umudike,NR17C2aF33P002,17.9388,1.661
2022,Umudike,NR17C2aF33P003,21.0494,3.326
2022,Umudike,NR17C2aF35P004,19.2072,2.82
2022,Umudike,NR17C2aF39P002,30.4567,2
2022,Umudike,NR17C2aF40P004,22.801,2.99
2022,Umudike,NR17C2aF46P012,19.3582,
2022,Umudike,NR17C2aF49P006,20.1132,2.99
2022,Umudike,NR17C2aF54P001,20.1736,2.333
2022,Umudike,NR17C2aF54P002,19.6451,2.6665
2022,Umudike,NR17C2aF54P005,11.2344,2.658
2022,Umudike,NR17C2aF54P010,21.6534,2.667
2022,Umudike,NR17C2aF54P012,21.6836,4
2022,Umudike,NR17C2aF5P017,20.687,2.333
2022,Umudike,NR17C2aF5P026,22.348,2
2022,Umudike,NR17C2aF60P003,25.7304,2.326
2022,Umudike,NR17C2aF60P006,17.063,1.661
2022,Umudike,NR17C2aF60P007,15.8248,1.667
2022,Umudike,NR17C2aF60P009,25.4888,2.667
2022,Umudike,NR17C2aF60P010,23.2238,4.319
2022,Umudike,NR17C2aF60P012,21.1098,2.658
2022,Umudike,NR17C2aF60P015,23.002,3.333
2022,Umudike,NR17C2aF60P019,21.2004,3.654
2022,Umudike,NR17C2aF60P020,20.0226,3.667
2022,Umudike,NR17C2aF61P002,17.6368,3.333
2022,Umudike,NR17C2aF61P004,25.1566,2.6665
2022,Umudike,NR17C2aF61P006,21.5326,3
2022,Umudike,NR17C2aF61P007,25.8512,2.333
2022,Umudike,NR17C2aF61P009,24.009,2.667
2022,Umudike,NR17C2aF61P010,20.0255,2.333
2022,Umudike,NR17C2aF61P011,16.8516,3
2022,Umudike,NR17C2aF61P013,15.3718,2.333
2022,Umudike,NR17C2aF61P015,25.8814,2.333
2022,Umudike,NR17C2aF62P015,18.8146,2
2022,Umudike,NR17C2aF62P020,19.63,2.99
2022,Umudike,NR17C2aF62P024,24.0543,2.1665
2022,Umudike,NR17C2aF65P009,31.4986,2.99
2022,Umudike,NR17C2aF65P017,22.3782,3.667
2022,Umudike,NR17C2aF65P020,18.4522,1.667
2022,Umudike,NR17C2aF65P024,23.5862,3
2022,Umudike,NR17C2aF65P027,24.613,3.322
2022,Umudike,NR17C2aF66P014,26.0324,2.326
2022,Umudike,NR17C2aF69P009,20.7776,2.333
2022,Umudike,NR17C2aF6P005,23.7674,3
2022,Umudike,NR17C2aF6P006,,2.667
2022,Umudike,NR17C2aF6P007,20.8984,1.667
2022,Umudike,NR17C2aF6P030,22.9218,3.322
2022,Umudike,NR17C2aF6P044,22.0611,2.5
2022,Umudike,NR17C2aF6P045,22.1517,2.658
2022,Umudike,NR17C2aF6P046,,3.987
2022,Umudike,NR17C2aF70P001,21.8044,3.4935
2022,Umudike,NR17C2aF70P007,,1.661
2022,Umudike,NR17C2aF70P008,27.0139,2
2022,Umudike,NR17C2aF79P001,15.6738,2.667
2022,Umudike,NR17C2aF79P005,22.2876,3.654
2022,Umudike,NR17C2aF79P007,22.1819,2
2022,Umudike,NR17C2aF79P008,,3.667
2022,Umudike,NR17C2aF79P016,17.4556,2.326
2022,Umudike,NR17C2aF7P007,23.1332,2.333
2022,Umudike,NR17C2aF7P008,19.5394,3.322
