Year,Location,Genotype,Amylose,Crude Fiber
2021,Umudike,NR17C2aF103P001,21.412,1.333
2021,Umudike,NR17C2aF10P001,23.194,1.667
2021,Umudike,NR17C2aF10P002,16.731,1.167
2021,Umudike,NR17C2aF10P006,23.828,1.067
2021,Umudike,NR17C2aF10P011,26.999,0.367
2021,Umudike,NR17C2aF10P016,23.677,1.3335
2021,Umudike,NR17C2aF10P021,24.764,1.767
2021,Umudike,NR17C2aF10P025,8.758,1.367
2021,Umudike,NR17C2aF114P002,22.046,1.633
2021,Umudike,NR17C2aF114P004,25.428,1.667
2021,Umudike,NR17C2aF118P001,32.374,1.9
2021,Umudike,NR17C2aF121P005,21.321,2
2021,Umudike,NR17C2aF12P001,13.107,2.567
2021,Umudike,NR17C2aF13P001,12.654,1.433
2021,Umudike,NR17C2aF14P016,28.901,1.367
2021,Umudike,NR17C2aF15P003,21.019,2.3
2021,Umudike,NR17C2aF15P011,36.391,1.667
2021,Umudike,NR17C2aF15P016,22.559,1.667
2021,Umudike,NR17C2aF15P022,23.918,2.3835
2021,Umudike,NR17C2aF15P041,16.942,2.833
2021,Umudike,NR17C2aF16P003,14.889,2.933
2021,Umudike,NR17C2aF16P010,20.596,1.6
2021,Umudike,NR17C2aF18P008,17.456,2.4
2021,Umudike,NR17C2aF18P018,,1.767
2021,Umudike,NR17C2aF19P002,39.471,3.333
2021,Umudike,NR17C2aF1P003,40.075,2.567
2021,Umudike,NR17C2aF1P006,24.704,1.933
2021,Umudike,NR17C2aF21P004,35.455,1.333
2021,Umudike,NR17C2aF27P001,9.996,1.133
2021,Umudike,NR17C2aF29P001,8.788,2.1
2021,Umudike,NR17C2aF39P002,22.378,1
2021,Umudike,NR17C2aF46P012,,2.333
2021,Umudike,NR17C2aF49P006,27.24,1.333
2021,Umudike,NR17C2aF54P001,26.395,1.533
2021,Umudike,NR17C2aF54P002,16.489,1.667
2021,Umudike,NR17C2aF54P005,15.462,1.4
2021,Umudike,NR17C2aF54P010,33.25,1.467
2021,Umudike,NR17C2aF54P012,16.791,1.367
2021,Umudike,NR17C2aF5P017,22.65,1.433
2021,Umudike,NR17C2aF5P026,23.707,
2021,Umudike,NR17C2aF60P003,36.663,2.4
2021,Umudike,NR17C2aF60P007,13.832,1.9
2021,Umudike,NR17C2aF60P009,22.982,1.367
2021,Umudike,NR17C2aF60P015,15.885,2.933
2021,Umudike,NR17C2aF60P019,8.728,3.633
2021,Umudike,NR17C2aF60P020,15.764,2.1665
2021,Umudike,NR17C2aF61P003,30.653,2.7
2021,Umudike,NR17C2aF61P004,29.626,1.333
2021,Umudike,NR17C2aF61P008,,2.633
2021,Umudike,NR17C2aF61P010,34.368,1.6
2021,Umudike,NR17C2aF61P011,32.767,1.367
2021,Umudike,NR17C2aF61P013,17.848,1.1
2021,Umudike,NR17C2aF61P015,6.131,3.1
2021,Umudike,NR17C2aF61P016,26.304,1.8
2021,Umudike,NR17C2aF62P020,32.284,2.433
2021,Umudike,NR17C2aF62P024,18.573,2
2021,Umudike,NR17C2aF62P027,25.247,1.4
2021,Umudike,NR17C2aF65P009,33.431,2.033
2021,Umudike,NR17C2aF65P010,9.875,1.667
2021,Umudike,NR17C2aF65P017,16.187,1.667
2021,Umudike,NR17C2aF65P031,26.153,0.567
2021,Umudike,NR17C2aF66P014,23.737,0.667
2021,Umudike,NR17C2aF69P009,42.038,2.333
2021,Umudike,NR17C2aF6P005,23.345,1.933
2021,Umudike,NR17C2aF6P007,11.748,2.4
2021,Umudike,NR17C2aF6P030,35.485,2.033
2021,Umudike,NR17C2aF6P037,35.002,1.7
2021,Umudike,NR17C2aF6P044,15.885,1.667
2021,Umudike,NR17C2aF6P045,35.032,2.033
2021,Umudike,NR17C2aF70P007,12.291,1.733
2021,Umudike,NR17C2aF70P008,15.191,1
2021,Umudike,NR17C2aF79P001,23.828,2.5
2021,Umudike,NR17C2aF79P005,22.288,2.167
2021,Umudike,NR17C2aF79P008,28.267,1.667
2021,Umudike,NR17C2aF79P016,25.006,1.667
2021,Umudike,NR17C2aF7P007,29.536,2
2021,Umudike,NR17C2aF7P008,31.559,1.533
2021,Umudike,NR17C2aF7P023,32.586,0.867
2021,Umudike,NR17C2aF7P030,25.519,
2021,Umudike,NR17C2aF7P036,23.254,1.6
2021,Umudike,NR17C2aF7P044,35.168,2.967
2021,Umudike,NR17C2aF7P050,28.448,2.767
2021,Umudike,NR17C2aF7P052,21.533,2
2021,Umudike,NR17C2aF7P058,15.1,2
2021,Umudike,NR17C2aF7P065,24.824,1.367
2021,Umudike,NR17C2aF7P070,20.717,1.333
2021,Umudike,NR17C2aF81P003,14.707,2.233
2021,Umudike,NR17C2aF82P008,,2.183
2021,Umudike,NR17C2aF83P010,32.918,2.267
2021,Umudike,NR17C2aF83P018,28.554,1.0165
2021,Umudike,NR17C2aF84P004,32.072,2.133
2021,Umudike,NR17C2aF87P010,27.271,1.9
2021,Umudike,NR17C2aF89P002,31.559,2.267
2021,Umudike,NR17C2aF89P003,27.784,3
2021,Umudike,NR17C2aF89P009,29.264,1.433
