sample_id,location,duplicate,WAC,Swelling Index (final/initial),SP,SOLUBILITY, Dry Matter,Moisture,Bulk Density (g/ml)
IITA-TMS-IBA30572,Otobi,A,371,1.9,6.75,2,91.82,8.18,0.9
IITA-TMS-IBA30572,Otobi,B,365,1.92,6.8,2,90.22,9.78,0.91
NR17C2aF10P002,Otobi,A,551,2.11,6.91,5,92.64,7.36,0.92
NR17C2aF10P002,Otobi,B,550,2.09,6.88,5,92.22,7.78,0.92
NR17C2aF10P006,Otobi,A,428,2.2,6.81,1,92.2,7.8,0.91
NR17C2aF10P006,Otobi,B,472,2.2,6.86,1,92.25,7.75,0.91
NR17C2aF10P017,Otobi,A,510,2.08,7.5,3,92.05,7.95,0.86
NR17C2aF10P017,Otobi,B,566,2.1,7.45,3,92.25,7.75,0.85
NR17C2aF10P025,Otobi,A,384,1.92,7.46,4,93,7,0.83
NR17C2aF10P025,Otobi,B,401,1.92,7.43,4,92.63,7.37,0.83
NR17C2aF114P002,Otobi,A,403,2,6.75,5,91.42,8.58,0.83
NR17C2aF114P002,Otobi,B,431,2.04,6.79,5,89.8,10.2,0.82
NR17C2aF121P001,Otobi,A,531,2.24,7.24,1,93.43,6.57,0.88
NR17C2aF121P001,Otobi,B,532,2.23,7.29,1,91.83,8.17,0.88
NR17C2aF12P001,Otobi,A,518,2.32,7.18,3,91.4,8.6,0.87
NR17C2aF12P001,Otobi,B,512,2.3,7.16,3,90.42,9.58,0.88
NR17C2aF13P001,Otobi,A,492,1.92,7.31,1,92.8,7.2,0.77
NR17C2aF13P001,Otobi,B,461,1.92,7.36,2,92.6,7.4,0.77
NR17C2aF15P016,Otobi,A,475,2.32,6.08,4,90.82,9.18,0.76
NR17C2aF15P016,Otobi,B,472,2.3,6.12,4,90.4,9.6,0.77
NR17C2aF16P013,Otobi,A,408,2.28,6.62,4,91.8,8.2,0.91
NR17C2aF16P013,Otobi,B,407,2.28,6.6,4,90.46,9.54,0.9
NR17C2aF21P004,Otobi,A,434,2.36,7.03,3,91.42,8.58,0.85
NR17C2aF21P004,Otobi,B,407,2.4,7.07,3,90.82,9.18,0.86
NR17C2aF28P002,Otobi,A,480,1.97,7.41,2,92.64,7.36,0.85
NR17C2aF28P002,Otobi,B,477,1.97,7.47,2,92.03,7.97,0.83
NR17C2aF33P002,Otobi,A,555,2.17,7.11,2,92.03,7.97,0.81
NR17C2aF33P002,Otobi,B,554,2.17,7.15,2,92.03,7.97,0.8
NR17C2aF54P010,Otobi,A,474,2.3,7.29,1,93.2,6.8,0.85
NR17C2aF54P010,Otobi,B,441,2.32,7.3,2,91.43,8.57,0.86
NR17C2aF60P009,Otobi,A,436,2.1,7.25,3,94.04,5.96,0.83
NR17C2aF60P009,Otobi,B,454,2.07,7.2,3,92.25,7.75,0.85
