"","x"
"1","IITA-TMS-IBA30572"
"2","NR17C2aF103P001"
"3","NR17C2aF10P002"
"4","NR17C2aF10P006"
"5","NR17C2aF10P017"
"6","NR17C2aF10P025"
"7","NR17C2aF114P002"
"8","NR17C2aF121P001"
"9","NR17C2aF12P001"
"10","NR17C2aF13P001"
"11","NR17C2aF14P016"
"12","NR17C2aF15P016"
"13","NR17C2aF16P013"
"14","NR17C2aF21P004"
"15","NR17C2aF28P002"
"16","NR17C2aF33P002"
"17","NR17C2aF54P010"
"18","NR17C2aF60P006"
"19","NR17C2aF60P009"
"20","NR17C2aF61P003"
"21","NR17C2aF62P008"
"22","NR17C2aF62P020"
"23","NR17C2aF62P027"
"24","NR17C2aF65P017"
"25","NR17C2aF65P027"
"26","NR17C2aF6P044"
"27","NR17C2aF70P007"
"28","NR17C2aF79P005"
"29","NR17C2aF7P007"
"30","NR17C2aF7P062"
"31","NR17C2aF81P002"
"32","NR17C2aF83P018"
"33","NR17C2aF87P001"
"34","NR17C2aF89P003"
"35","NR17C2aF89P014"
"36","NR17C2aF89P028"
"37","NR17C2aF89P084"
"38","NR17C2aF90P008"
"39","NR17C2aF97P002"
"40","NR17C2aF99P002"
"41","TMEB419"
"42","TMEB7"
"43","NR17C2aF10P002"
"44","NR17C2aF10P025"
"45","NR17C2aF10P036"
"46","NR17C2aF1P009"
"47","NR17C2aF121P001"
"48","NR17C2aF10P017"
"49","NR17C2aF15P016"
"50","NR17C2aF12P001"
"51","NR17C2aF46P005"
"52","NR17C2aF16P013"
"53","NR17C2aF28P002"
"54","NR17C2aF21P004"
"55","NR17C2aF13P001"
"56","NR17C2aF114P002"
"57","TMEB7"
"58","NR17C2aF60P015"
"59","NR17C2aF6P044"
"60","NR17C2aF87P011"
"61","NR17C2aF54P010"
"62","NR17C2aF61P003"
"63","NR17C2aF97P002"
"64","NR17C2aF89P084"
"65","NR17C2aF89P028"
"66","NR17C2aF89P010"
"67","NR17C2aF7P007"
"68","NR17C2aF62P027"
"69","IITA-TMS-IBA30572"
"70","NR17C2aF70P007"
"71","NR17C2aF65P027"
"72","NR17C2aF82P008"
"73","NR17C2aF89P002"
"74","NR17C2aF103P001"
"75","NR17C2aF10P001"
"76","NR17C2aF10P002"
"77","NR17C2aF10P006"
"78","NR17C2aF10P016"
"79","NR17C2aF10P017"
"80","NR17C2aF10P021"
"81","NR17C2aF10P025"
"82","NR17C2aF114P002"
"83","NR17C2aF114P004"
"84","NR17C2aF120P002"
"85","NR17C2aF121P001"
"86","NR17C2aF12P001"
"87","NR17C2aF13P001"
"88","NR17C2aF14P014"
"89","NR17C2aF14P016"
"90","NR17C2aF15P003"
"91","NR17C2aF15P011"
"92","NR17C2aF15P016"
"93","NR17C2aF15P022"
"94","NR17C2aF15P032"
"95","NR17C2aF15P041"
"96","NR17C2aF16P003"
"97","NR17C2aF16P004"
"98","NR17C2aF16P010"
"99","NR17C2aF16P013"
"100","NR17C2aF18P008"
"101","NR17C2aF18P015"
"102","NR17C2aF18P018"
"103","NR17C2aF1P003"
"104","NR17C2aF1P006"
"105","NR17C2aF1P009"
"106","NR17C2aF21P004"
"107","NR17C2aF27P001"
"108","NR17C2aF28P002"
"109","NR17C2aF29P001"
