"","swelling.index","swelling.power","WAC","Bulk.Density"
"1",1.91,6.775,368,0.905
"2",2.015,7.24,479,0.93
"3",2.1,6.895,550.5,0.92
"4",2.2,6.835,450,0.91
"5",2.09,7.475,538,0.855
"6",1.92,7.445,392.5,0.83
"7",2.02,6.77,417,0.825
"8",2.235,7.265,531.5,0.88
"9",2.31,7.17,515,0.875
"10",1.92,7.335,476.5,0.77
"11",1.915,6.785,428.5,0.855
"12",2.31,6.1,473.5,0.765
"13",2.28,6.61,407.5,0.905
"14",2.38,7.05,420.5,0.855
"15",1.97,7.44,478.5,0.84
"16",2.17,7.13,554.5,0.805
"17",2.31,7.295,457.5,0.855
"18",1.67,6.885,437,0.89
"19",2.085,7.225,445,0.84
"20",1.885,7.145,440.5,0.88
"21",1.78,7.505,501.5,0.685
"22",2.38,7.17,479,0.855
"23",1.925,6.865,457.5,0.94
"24",1.92,7.41,413.5,0.865
"25",2.015,6.545,477,0.785
"26",2.49,6.865,497,0.815
"27",2.02,7.125,473,0.87
"28",2.38,7.26,495,0.875
"29",2.26,6.935,535,0.825
"30",1.985,6.885,453.5,0.88
"31",2.05,6.9,483.5,0.755
"32",2.38,6.905,462.5,0.865
"33",1.92,6.835,501,0.865
"34",2.42,7.015,462.5,0.815
"35",2.22,6.675,446.5,0.865
"36",1.885,6.985,505.5,0.875
"37",2.24,6.055,451.5,0.84
"38",2.26,7.07,407,0.785
"39",2.38,7.03,420.5,0.855
"40",2.4,7.425,507.5,0.84
"41",2.09,6.875,428,0.865
"42",2,7.08,416.5,0.84
"43",2.14,7.52,374,0.861
"44",2.227,8.475,364.5,0.904
"45",2.047,9.335,381,0.937
"46",2.082,7.86,464.5,0.858
"47",1.936,9.35,452,0.909
"48",NA,NA,427.5,0.791
"49",2.123,9.245,534.5,0.938
"50",1.95,6.935,397,0.858
"51",NA,NA,368,0.882
"52",1.581,10.015,348.5,0.955
"53",2.017,7.935,428,0.857
"54",2.257,7.55,323.5,0.882
"55",1.817,8.675,406.5,0.88
"56",2.349,8.265,371,0.909
"57",2.086,9.45,452,0.816
"58",2.392,8.45,352,0.936
"59",2.409,8.35,345,0.917
"60",1.875,8.89,470.5,0.881
"61",1.814,7.975,412,0.884
"62",2.081,7.89,423,0.769
"63",2.001,7.64,426.5,0.828
"64",2.16,9.005,382.5,0.934
"65",1.933,8.02,345,0.868
"66",2.102,9.53,452.5,0.889
"67",2.38,7.12,345.5,0.862
"68",1.734,8.5025,400,0.881
"69",2.175,7.215,383,0.882
"70",2.221,8.605,444,0.937
"71",1.999,8.165,407.5,0.938
"72",1.965,6.7,405,0.906
"73",1.911,6.385,482,0.937
"74",2.263,8.38,387,0.856
"75",1.563,9.345,364.5,0.909
"76",1.973,6.99,388.5,0.858
"77",2.263,7.56,429.5,0.856
"78",2.247,8.165,436,0.88
"79",2.071,8.17,379.5,0.866
"80",2.221,8.28,395,0.88
"81",2.157,8.695,414.5,0.936
"82",2,8.44,444.5,0.833
"83",1.756,8.05,341,0.909
"84",1.719,8.23,381.5,0.857
"85",2.191,8.625,403.5,0.909
"86",2,9.49,404.5,0.938
"87",2.305,8.425,433,0.88
"88",1.942,9.05,407,0.909
"89",1.833,9.11,397.5,0.925
"90",2.097,7.2,494.5,0.92
"91",2.1,9.04,422.5,0.882
"92",1.978,6.59,388,0.873
"93",2.228,7.15,451.5,0.754
"94",1.8,8.315,386.5,0.788
"95",1.57,7.92,417,0.881
"96",1.657,9.405,327.5,0.952
"97",2.017,7.385,471,0.908
"98",2.03,7.29,405,0.851
"99",1.968,7.605,354.5,0.968
"100",2.356,8.33,409.5,0.908
"101",2.31,8.05,386,0.909
"102",1.821,9.24,382,0.908
"103",1.766,9.095,391,0.877
"104",1.932,7.71,373.5,0.923
"105",2.043,8.86,438,0.857
"106",2.391,8.08,421,0.907
"107",2.258,8.26,460.5,0.904
"108",2.314,7.81,434,0.882
"109",2.204,7.615,477.5,0.936
"110",2.324,8.525,386.5,0.916
"111",2.049,8.035,470.5,0.881
"112",2,8.93,510.5,0.834
"113",2.118,8.165,424,0.857
"114",1.772,9.245,355.5,0.937
"115",2.065,7.74,440,0.938
"116",2.226,8.315,400.5,0.862
"117",1.944,8.76,328.5,0.937
"118",2.189,7.31,432,0.794
"119",2.017,8.13,356.5,0.856
