"","x"
"1","IITA-TMS-IBA30572"
"2","NR17C2aF103P001"
"3","NR17C2aF10P002"
"4","NR17C2aF10P006"
"5","NR17C2aF10P017"
"6","NR17C2aF10P025"
"7","NR17C2aF114P002"
"8","NR17C2aF121P001"
"9","NR17C2aF12P001"
"10","NR17C2aF13P001"
"11","NR17C2aF14P016"
"12","NR17C2aF15P016"
"13","NR17C2aF16P013"
"14","NR17C2aF21P004"
"15","NR17C2aF28P002"
"16","NR17C2aF33P002"
"17","NR17C2aF54P010"
"18","NR17C2aF60P006"
"19","NR17C2aF60P009"
"20","NR17C2aF61P003"
"21","NR17C2aF62P008"
"22","NR17C2aF62P020"
"23","NR17C2aF62P027"
"24","NR17C2aF65P017"
"25","NR17C2aF65P027"
"26","NR17C2aF6P044"
"27","NR17C2aF70P007"
"28","NR17C2aF79P005"
"29","NR17C2aF7P007"
"30","NR17C2aF7P062"
"31","NR17C2aF81P002"
"32","NR17C2aF83P018"
"33","NR17C2aF87P001"
"34","NR17C2aF89P003"
"35","NR17C2aF89P014"
"36","NR17C2aF89P028"
"37","NR17C2aF89P084"
"38","NR17C2aF90P008"
"39","NR17C2aF97P002"
"40","NR17C2aF99P002"
"41","TMEB419"
"42","TMEB7"
"43","NR17C2aF103P001"
"44","NR17C2aF10P001"
"45","NR17C2aF10P002"
"46","NR17C2aF10P006"
"47","NR17C2aF10P016"
"48","NR17C2aF10P017"
"49","NR17C2aF10P021"
"50","NR17C2aF10P025"
"51","NR17C2aF114P002"
"52","NR17C2aF114P004"
"53","NR17C2aF120P002"
"54","NR17C2aF121P001"
"55","NR17C2aF12P001"
"56","NR17C2aF13P001"
"57","NR17C2aF14P014"
"58","NR17C2aF14P016"
"59","NR17C2aF15P003"
"60","NR17C2aF15P011"
"61","NR17C2aF15P016"
"62","NR17C2aF15P022"
"63","NR17C2aF15P032"
"64","NR17C2aF15P041"
"65","NR17C2aF16P003"
"66","NR17C2aF16P004"
"67","NR17C2aF16P010"
"68","NR17C2aF16P013"
"69","NR17C2aF18P008"
"70","NR17C2aF18P015"
"71","NR17C2aF18P018"
"72","NR17C2aF1P003"
"73","NR17C2aF1P006"
"74","NR17C2aF1P009"
"75","NR17C2aF21P004"
"76","NR17C2aF27P001"
"77","NR17C2aF28P002"
"78","NR17C2aF29P001"
"79","NR17C2aF33P002"
"80","NR17C2aF33P003"
"81","NR17C2aF35P004"
"82","NR17C2aF37P001"
"83","NR17C2aF39P002"
"84","NR17C2aF3P010"
"85","NR17C2aF40P004"
"86","NR17C2aF46P012"
"87","NR17C2aF49P006"
"88","NR17C2aF54P001"
"89","NR17C2aF54P002"
"90","NR17C2aF54P010"
"91","NR17C2aF54P012"
"92","NR17C2aF54P015"
"93","NR17C2aF5P017"
"94","NR17C2aF5P022"
"95","NR17C2aF5P026"
"96","NR17C2aF60P003"
"97","NR17C2aF60P009"
"98","NR17C2aF60P010"
"99","NR17C2aF60P012"
"100","NR17C2aF60P015"
"101","NR17C2aF60P020"
"102","NR17C2aF61P002"
"103","NR17C2aF61P003"
"104","NR17C2aF61P004"
"105","NR17C2aF61P006"
"106","NR17C2aF61P007"
"107","NR17C2aF61P008"
"108","NR17C2aF61P009"
"109","NR17C2aF61P010"
